GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sonarqube-spring-boot-demo,controller,ProductController,3,13,1,1,1,3,1,2,0,2
sonarqube-spring-boot-demo,com.example.sonarqubespringbootdemo,SonarqubeSpringBootDemoApplication,5,3,0,0,2,1,1,1,1,1
